DOI,Title,Authors,Journal,Year,Abstract,LitmapsId,Cited By,References,PubMedId,Tags
10.1007/s11042-021-11855-3,Topic adaptive sentiment classification based community detection for social influential gauging in online social networks,"P. Kumaran, S. Chitrakala",Multimedia tools and applications,2022,"Online Social Networks (OSNs) such as Twitter, Facebook, Instagram, and WhatsApp are turned as a place for many of people in recent years to spend much of their time, due to their huge network structure and massive amounts of user-generated data in it. Those data’s are widely used in various real-world applications such as online marketing, epidemiology, digital marketing, online product or service promotion, and online recommendation systems. Presently, the twitter has grown to become a mainstream medium for the dissemination of messages, which creates necessitated intensive research challenges in the field of social influential gauging, Influence Maximization Problems, alongside an information diffusion. First, to address the social influential gauging a novel Topic Adaptive Sentiment Classification based Community Detection (TASCbCD) algorithm is proposed to detect communities in twitter network based on the results of topic based sentiment classification using robust topic features. In the topic modelling, the initial topics of each extracted data and the robust topic features were used to classify using a multi-class support vector machine. The WordNet and SentiWordNet are benchmark data sets that are used for supporting those classification to achieve the desired results. The resultant communities give a better visualization of identifying the overlapping communities that helps to gauge the topic based social influential user in OSNs. However, from the experimental result, it is observed that the proposed algorithm achieves better results in RandIndex and Scaled Density metrics than state-of-the-art methods for communities detection.",42723349,6,57,,
10.1016/j.ipm.2021.102655,Investigating the impact of recommender systems on user-based and item-based popularity bias,"Mehdi Elahi, Danial Khosh Kholgh, Mohammad Sina Kiarostami, Sorush Saghari, Shiva Parsa Rad, Marko Tkalcic",Information Processing and Management,2021,(missing abstract),191946595,51,30,,
10.1007/s11135-022-01448-z,Who pushes the discussion on wind energy? An analysis of self-reposting behaviour on Twitter,"Loretta Mastroeni, Maurizio Naldi, Pierluigi Vellucci, Loretta Mastroeni, Maurizio Naldi, Pierluigi Vellucci",(missing journal),2022,"Abstract Discussions about wind energy and its environmental impact take place routinely over Twitter. Twitterers with a strong interest in the matter may also retweet their own tweets (aka self-reposting) as a means to increase their visibility and push their message across. Identifying the features that make self-reposted tweets different from tweets that are not retweeted (either by their originators or by other twitterers) is crucial to understand what drives self-reposting. In this paper, we examine several characteristics of self-reposted tweets, concerning when they occur, how frequently, their length, and the number of hashtags, hyperlinks, and exclamation points they contain. We conduct our analysis on a dataset comprising tweets about wind energy. We find out that: (a) twitterers repost their own tweets primarily on weekends (especially on Sundays) and in the afternoon; (b) self-reposted tweets tend to be longer and contain more hashtags; (c) self-reposting typically occurs when retweets by other twitterers become less frequent, probably driven by the need to refresh the message. Finally, we also observe that self-reposting is resorted to mostly by individual twitterers rather than companies.",77376416,1,85,,
10.1007/978-981-16-3690-5_60,Retweet Prediction for Large Datasets of Random Tweets,"Saurabh Sharma, Vishal Gupta",(missing journal),2021,"AbstractIn the information age, social media plays an important role in the life of online users. The ever-increasing use of social media for various purposes opens up a broad research area. The activities performed by users on social media can provide insights into their interests, opinions, likes, dislikes, emotions, etc. This article is an attempt to understand a general trend of information diffusion through retweets. The explicit features of a tweet are positively correlated with retweet count. The results of the regression analysis of five different algorithms have pointed out a strong linear correlation between retweet count and explicit features of a Tweet. The contribution of this article is to provide a simple and fast way of analysis of very large tweet datasets, using a minimum number of features without the complexity of feature generation and implementing complex algorithms.KeywordsTwitterRetweet predictionInformation diffusionCorrelation analysisRegression analysisBig data",113728780,1,18,,
10.1007/978-981-15-8443-5_10,Machine Learning Techniques to Determine the Polarity of Messages on Social Networks,"Jesus Varga, Omar Bonerge Pineda Lezama, Karen Payares",Advances in intelligent systems and computing,2021,"With the origin of Web 2.0, the Internet contains large amounts of user-generated information on an unlimited number of topics. Many entities such as corporations or political groups seek to gain knowledge through the opinions expressed by users. Social platforms such as Facebook or Twitter have proven to be successful for these tasks, due to the high volume of real-time messages generated and the large number of users that use them every day (Leis et al., J Med Internet Res 21(6):e14199, 2019, [1]). This paper focuses on the problem of Global Sentiment Analysis. Using the texts that compose the corpus in Spanish built by Sixto et al. (International conference on applications of natural language to information systems. Springer, Cham, 2016 [2]), and selecting the three most used classifiers by the state of the art of Naive Bayes, MSV and J48 through the Weka software.",190695594,1,23,,
10.1007/s41060-021-00244-6,An influence model for influence maximization–revenue optimization,"Trisha Lawrence, Patrick Hosein, Isaac Dialsingh",Journal of data science,2021,"The rise of online social networks (OSNs) has caused an insurmountable amount of interest from advertisers and researchers seeking to monopolize on its features. Researchers aim to develop strategies for propagating information among users within an OSN that is captured by diffusion or influence models. Within the last decade, influence models have been extensively studied for the influence maximization (IM) problem. Recently, a novel stochastic dynamic programming (SDP) formulation to influence maximization called the influence maximization–revenue optimization (IM–RO) problem was proposed with numerous lucrative advantages. In this paper, we validate the intuition behind the proposed influence model for the IM–RO problem empirically. We focus on demonstrating the correctness of the notion behind the influence model that the more of a user’s friends who click on an advertisement, the more likely the user is to click on the advertisement themselves and use a decision tree regressor to predict this probability. To further support the premise of our influence model and estimate its parameters, we implement a linear regression and a Bayesian model. Results indicate that the linear regression model captures the functional relationship between its dependent and the independent variables. We extend the experiments to real-world OSNs and investigate additional predictor variables that influence the number of posts and reposts.",166310434,2,36,,
10.1108/ajim-05-2022-0254,How to identify influential content: Predicting retweets in online financial community,(missing authors),Aslib Journal of Information Management,2023,"PurposeRetail investors are prone to be affected by information dissemination in social media with the rapid development of Web 2.0. The purpose of this study is to recognize the factors that may impact users' retweet behavior, namely information dissemination in the online financial community, through machine learning techniques.Design/methodology/approachThis paper crawled data from the Chinese online financial community (Xueqiu.com) and extracted author-related, content-related, situation-related, stock-related and stock market-related features from the dataset. The best information dissemination prediction model based on these features was determined by evaluating five classifiers with various performance metrics, and the predictability of different feature groups was tested.FindingsFive prevalent classifiers were evaluated with various performance metrics and the random forest classifier was proven to be the best retweet prediction model in the authors’ experiments. Moreover, the predictability of author-related, content-related and market-related features was illustrated to be relatively better than that of the other two feature groups. Several particularly important features, such as the author's followers and the rise and fall of the stock index, were recognized in this paper at last.Originality/valueThis study contributes to in-depth research on information dissemination in the financial domain. The findings of this study have important practical implications for government regulators to supervise public opinion in the financial market.",258224404,0,68,,
10.1080/01442872.2023.2237911,The role of hyperactive Twitter accounts in the diffusion of political information,"Paweł Matuszewski, Gabriella Szabó",Policy studies,2023,"ABSTRACT Social media virality is intertwined with content’s ability to trigger specific reactions; however, little is known regarding the behavioural component of political information diffusion. This study uses big data to investigate the significance of hyperactive social media use in the retransmission of information produced by political opinion leaders on Twitter during Poland’s 2019 European parliamentary election campaign. Using the isolation forest method, the research identified the social bot-like (semi)automated or human-controlled Twitter handles which are referred to as hyperactive accounts. The study finds that the hyperactive accounts produced almost all reactions in our sample (N = 114,036), but their average activity was relatively moderate and did not exceed human capabilities. Although their retweets equal 0.46% of the retweets obtained by political opinion leaders, the random forest regression models suggest that the likes and retweets from hyperactive accounts are the most important determinants of the dissemination of political opinion leaders’ tweets. The results draw attention to the alarming phenomenon of the further increase in Twitter’s interactional asymmetry.",263852828,6,78,,
10.1109/tcss.2020.3042713,Effective Visibility Prediction on Online Social Network,"N. C. Rathore, S. Tripathy",IEEE Transactions on Computational Social Systems,2021,"The tremendous popularity of online social network (OSN) services in recent years has offered a new way of information sharing. OSN services allow the spread of information like fire in a forest, among the target audience. On the other hand, these services raise serious concerns about the privacy of their users. In this article, we propose a novel exponential model to measure the visibility of tweets exploiting the trust and interest of the followers. Furthermore, we develop a polynomial regression model and a deep neural network (DNN) model for visibility prediction. The experimental results with the real data show that the exponential model achieves better visibility prediction accuracy in comparison to the regression model and DNN model for a specific value of hop count.",78155778,3,35,,
10.1007/s42001-025-00396-6,Exploring the role of information security news descriptions on retweet proneness and user interactions,"Konstantinos Charmanas, Klairi Filippou, Nikolaos Mittas, Lefteris Angelis",Journal of Computational Social Science,2025,"Abstract Nowadays, advanced network and resource capabilities offer many benefits to platform users but also bring malicious opportunities, thus leading experts to raise awareness about malicious threats and discuss potential mitigation practices through security news. An important factor in understanding user engagement and experiences is to investigate their sentiment and interests regarding security threats and tools across online platforms. In this study, we investigate content-based factors in security news affecting user interactions through a dataset of 44,264 tweets posted by seven relevant accounts. The first goal is to discover whether the textual information hidden in security news triggers retweeting through the training and evaluation of a set of classifiers. The findings suggest that words and hashtags can be important in developing prediction mechanisms. The second goal is to distinguish topics of security news leading to relatively more user interactions than the rest, where the topics are discovered using the Non-negative Matrix Factorization algorithm. For this goal, four types of user interactions are studied both independently and aggregated using the Archetypal Analysis and Conover-Iman test, respectively. The outcomes from these two approaches suggest that hacking activities followed by learning materials and webinars should be considered the most popular topics. Overall, the discussed findings can be used to understand the interests and reactiveness of Twitter users across security news, while the framework can be studied for extracting knowledge from Twitter data.",287631340,0,74,,
10.1609/aaai.v36i11.21690,Predicting the Influence of Fake and Real News Spreaders (Student Abstract),"Amy Zhang, Aaron Brookhouse, Daniel Hammer, Francesca Spezzano, L. Babinkostova",AAAI Conference on Artificial Intelligence,2022,"We study the problem of predicting the influence of a user in spreading fake (or real) news on social media. We propose a new model to address this problem which takes into account both user and tweet characteristics. We show that our model achieves an F1 score of 0.853, resp. 0.931, at predicting the influence of fake, resp. real, news spreaders, and outperforms existing baselines. We also investigate important features at predicting the influence of real vs. fake news spreaders.",207046007,1,7,,
10.1007/s12065-020-00512-7,A hybrid bio-inspired computing approach for buzz detection in social media,"Rupali Jain, Jai Batra, Arpan Kumar Kar, Himanshu Agrawal, Vinay Anand Tikkiwal",Evolutionary Intelligence,2021,"Social media forums such as Twitter can be used as instruments for understanding the way users behave and engage with other users online. Analysis of data related to material shared by users assists in mining useful information for assessing content for virality. This study proposes a methodology to predict which tweets are likely to become viral and generate a lot of conversations over the Internet, termed as buzz discussions, by considering such discussions as outliers, using bio-inspired algorithms integrated with k-Nearest Neighbors classification. Performances of three bio-inspired optimization algorithms, namely Grey Wolf Optimization, Chicken Swarm Optimization and, Artificial Bee Colony, have also been evaluated based on the efficacy of the proposed hybrid models for mining outliers on a supervised learning data-set containing 11 primary features and 140,707 instances. Among the three algorithms used for this outlier detection problem, Chicken Swarm Optimization shows better performance, overall, in terms of evaluation parameters, including accuracy, precision, recall, specificity, F1-measure and convergence.",96478064,7,85,,
10.1007/s11192-021-04051-5,Understanding and predicting the dissemination of scientific papers on social media: a two-step simultaneous equation modeling–artificial neural network approach,"Yaxue Ma, Zhichao Ba, Yuxiang Zhao, Jin Mao, Gang Li",Scientometrics,2021,"Social media platforms have had an enormous impact on the dissemination of scientific work and have fared well in covering scientific papers. However, little is known about the general dissemination process from academia to social media and how various factors affect the dissemination of scientific papers at different stages. In this paper, we proposed a two-staged dissemination process to profile the diffusion of scientific papers from academia to social media. A two-step simultaneous equation modeling–artificial neural network approach was adopted to predict the retweet scale of scientific papers on Twitter by combining source-related and content-related factors. The analysis in the field of oncology suggests that the artificial neural network algorithm (ANN) with the input units generated from the simultaneous equation model (3SLS) can predict the retweet scale of scientific papers on Twitter with an accuracy of 78.05%. According to the normalized importance obtained from the ANN, we found that most factors related to the information source play critical roles in promoting the dissemination of scientific papers. The number of first-generation tweets has the most remarkable impact on subsequent dissemination. As for the content-related predictors, tweets attached with more URLs can provide richer information for audiences, thereby increasing the retweet scale of scientific papers. Besides, the influence of research topics on dissemination varies with different audiences. The findings of this study contribute to the literature on the dissemination of scientific papers beyond academia and provide practical implications for scholarly communication.",4744468,3,105,,
10.1007/s12351-023-00768-8,Optimal strategies of social commerce platforms in the context of forwarding and bargaining,"Xu Chen, Yingliang Wu, Rujie Zhong",Operational Research,2023,(missing abstract),254966403,3,30,,
10.1145/3442442.3452315,Affect Classification in Tweets using Multitask Deep Neural Networks,"Seema Nagar, Achintya Shankhdhar, F. Barbhuiya, K. Dey",WWW,2021,"We propose a multitask deep neural network for detecting affect-retweet pairs for Twitter tweets. Each task given to our network jointly learns a given affect, e.g. hate, sarcasm etc., along with learning retweeting behaviour as an auxiliary task, from a given tweet corpus. On test data, this model allows us to predict retweet behaviour in the absence of any further meta-data, along with identifying affect. This allows us also to predict whether a tweet with affect would go viral or not. Our model delivers F1-scores of 0.93 and 0.91 for hate and sarcasm detection respectively, and predicts retweets with the accuracy of 71% and 60% respectively, delivering state-of-the-art performance on benchmark data.",14418197,1,26,,
10.1007/978-3-031-50040-4_15,Assessing Factors of User Participation in Social Media During Crisis Events: An Analysis of Features and Practices,"Magaywer Moreira de Paiva, José Viterbo, Flavia Bernardini, Mônica da Silva, Cristiano Maciel",Lecture Notes in Computer Science,2023,(missing abstract),291748522,0,17,,
10.1016/j.osnem.2021.100165,"Retweet Prediction based on Topic, Emotion and Personality","Syeda Nadia Firdaus, Chen Ding, Alireza Sadeghian",Online Social Networks and Media,2021,(missing abstract),195370448,23,44,,
10.11591/ijeecs.v35.i3.pp1952-1962,Virality classification from Twitter data using pre-trained language model and multi-layer perceptron,"J. Tedjasulaksana, A. S. Girsang",Indonesian Journal of Electrical Engineering and Computer Science,2024,"Twitter is one of the well-known text-based social media that is often used to disseminate content. According to Katadata, Indonesia ranked fifth in the world in 2023. So many people or organizations want to make tweets go viral. Therefore, this research aims to develop a model that uses tweet data from the Indonesian language Twitter social media to categorize the level of virality. There are several tasks in classifying the level of virality, such as upsampling data, predicting sentiment and emotion, and text embedding. Upsampling data was carried out because the dataset used was an imbalanced dataset. Data upsampling, emotions, and text embedding is carried out using the bidirectional encoder representation from transformers (BERT) model. Meanwhile, sentiment prediction uses the Ro-bustly optimized BERT pretraining approach (RoBERTa). The results of text embedding, sentiment, emotion, will be combined with Twitter metadata then all features will be fed into the multi-layer perceptron (MLP) model to classifying the level of virality which is divided into 3 classes based on the number of retweets, namely low, medium and high. The proposed method produces an F1-score of 49% and an accuracy of 95% and performs better than the baseline model.",286359247,1,27,,
10.1007/s10257-023-00628-0,Factors affecting Consumer Brand Sabotage virality: a study of an Indian brand #boycott,"Rehan Bhatia, Agam Gupta, M. Vimalkumar, Divya Sharma",Information Systems and E-Business Management,2023,(missing abstract),255341375,4,107,,
10.33621/jdsr.v5i4.181,A Systematic Literature Review of Predictors of Social Media Popularity,Joshua Woods,Journal of Digital Social Research,2023,"
A growing area of research has examined the individual behaviors and social antecedents that enable and constrain the popularity of social media users. This systematic review gathers and summarizes 68 naturalistic studies that measure popularity based on users’ reach (e.g., followers, fans and subscribers) or engagement (e.g., likes, comments and shares) on multiple platforms. It draws on Barnlund’s (2008) transactional model of communication to organize the literature and provides a roadmap for future research by identifying areas of the research that are characterized by consensus and disagreement. It also reveals a gap in the literature. Previous research focuses on communication strategies that maximize reach and engagement and provides less evidence of social structural influences on popularity. More research is needed to understand how the social, economic, and cultural characteristics of users affect their success. 
",266605352,4,79,,
10.1007/s11042-021-11855-3,Topic adaptive sentiment classification based community detection for social influential gauging in online social networks,"P. Kumaran, S. Chitrakala",Multimedia tools and applications,2022,"Online Social Networks (OSNs) such as Twitter, Facebook, Instagram, and WhatsApp are turned as a place for many of people in recent years to spend much of their time, due to their huge network structure and massive amounts of user-generated data in it. Those data’s are widely used in various real-world applications such as online marketing, epidemiology, digital marketing, online product or service promotion, and online recommendation systems. Presently, the twitter has grown to become a mainstream medium for the dissemination of messages, which creates necessitated intensive research challenges in the field of social influential gauging, Influence Maximization Problems, alongside an information diffusion. First, to address the social influential gauging a novel Topic Adaptive Sentiment Classification based Community Detection (TASCbCD) algorithm is proposed to detect communities in twitter network based on the results of topic based sentiment classification using robust topic features. In the topic modelling, the initial topics of each extracted data and the robust topic features were used to classify using a multi-class support vector machine. The WordNet and SentiWordNet are benchmark data sets that are used for supporting those classification to achieve the desired results. The resultant communities give a better visualization of identifying the overlapping communities that helps to gauge the topic based social influential user in OSNs. However, from the experimental result, it is observed that the proposed algorithm achieves better results in RandIndex and Scaled Density metrics than state-of-the-art methods for communities detection.",42723349,6,57,,
10.1016/j.ipm.2021.102655,Investigating the impact of recommender systems on user-based and item-based popularity bias,"Mehdi Elahi, Danial Khosh Kholgh, Mohammad Sina Kiarostami, Sorush Saghari, Shiva Parsa Rad, Marko Tkalcic",Information Processing and Management,2021,(missing abstract),191946595,51,30,,
10.1007/s11135-022-01448-z,Who pushes the discussion on wind energy? An analysis of self-reposting behaviour on Twitter,"Loretta Mastroeni, Maurizio Naldi, Pierluigi Vellucci, Loretta Mastroeni, Maurizio Naldi, Pierluigi Vellucci",(missing journal),2022,"Abstract Discussions about wind energy and its environmental impact take place routinely over Twitter. Twitterers with a strong interest in the matter may also retweet their own tweets (aka self-reposting) as a means to increase their visibility and push their message across. Identifying the features that make self-reposted tweets different from tweets that are not retweeted (either by their originators or by other twitterers) is crucial to understand what drives self-reposting. In this paper, we examine several characteristics of self-reposted tweets, concerning when they occur, how frequently, their length, and the number of hashtags, hyperlinks, and exclamation points they contain. We conduct our analysis on a dataset comprising tweets about wind energy. We find out that: (a) twitterers repost their own tweets primarily on weekends (especially on Sundays) and in the afternoon; (b) self-reposted tweets tend to be longer and contain more hashtags; (c) self-reposting typically occurs when retweets by other twitterers become less frequent, probably driven by the need to refresh the message. Finally, we also observe that self-reposting is resorted to mostly by individual twitterers rather than companies.",77376416,1,85,,
10.1007/978-981-16-3690-5_60,Retweet Prediction for Large Datasets of Random Tweets,"Saurabh Sharma, Vishal Gupta",(missing journal),2021,"AbstractIn the information age, social media plays an important role in the life of online users. The ever-increasing use of social media for various purposes opens up a broad research area. The activities performed by users on social media can provide insights into their interests, opinions, likes, dislikes, emotions, etc. This article is an attempt to understand a general trend of information diffusion through retweets. The explicit features of a tweet are positively correlated with retweet count. The results of the regression analysis of five different algorithms have pointed out a strong linear correlation between retweet count and explicit features of a Tweet. The contribution of this article is to provide a simple and fast way of analysis of very large tweet datasets, using a minimum number of features without the complexity of feature generation and implementing complex algorithms.KeywordsTwitterRetweet predictionInformation diffusionCorrelation analysisRegression analysisBig data",113728780,1,18,,
